,Make,Model,Style,Fuel_type,Transmission
414,Renault,Clio,Universal,Diesel,1
415,Mini,Rare,Coupe,Diesel,0
416,Opel,Combo,Minivan,Diesel,0
417,Dacia,Sandero,Hatchback,Diesel,0
418,Ford,Rare,Minivan,Diesel,0
419,Renault,Megane,Universal,Diesel,0
420,Volkswagen,Rare,SUV,Diesel,0
421,Hyundai,Tucson,SUV,Diesel,1
422,Dacia,Duster,Crossover,Diesel,0
423,Dacia,Rare,Minivan,Diesel,0
424,BMW,X5,Crossover,Diesel,1
425,Suzuki,Rare,Crossover,Petrol,1
426,Lexus,CT Series,Hatchback,Petrol,1
427,Ford,Rare,Minivan,Diesel,0
428,Mitsubishi,Rare,Universal,Metan/Propan,0
429,Volkswagen,Polo,Hatchback,Petrol,1
430,Skoda,Fabia,Universal,Petrol,0
431,Audi,80,Sedan,Petrol,0
432,Volkswagen,Passat,Sedan,Petrol,1
433,Volkswagen,Golf,Hatchback,Petrol,1
434,Volkswagen,Touran,Microvan,Diesel,0
435,BMW,5 Series,Sedan,Petrol,1
436,BMW,X5,Crossover,Plug-in Hybrid,1
437,Ford,Rare,Pickup,Petrol,1
438,Mercedes,GLC,SUV,Petrol,1
439,Volkswagen,Golf,Universal,Petrol,0
440,Dacia,Sandero,Universal,Petrol,0
441,Volkswagen,Transporter,Minivan,Diesel,0
442,Toyota,Auris,Hatchback,Hybrid,1
443,Volkswagen,Tiguan,Sedan,Petrol,1
444,Cadillac,Rare,Sedan,Petrol,1
445,Peugeot,Rare,Minivan,Petrol,0
446,KIA,Rare,Hatchback,Petrol,1
447,Volkswagen,Polo,Sedan,Petrol,0
448,Renault,Laguna,Hatchback,Diesel,0
449,Dacia,Logan Mcv,Microvan,Metan/Propan,0
450,Ford,Fusion,Sedan,Petrol,1
451,Skoda,Rapid,Sedan,Diesel,0
452,Volkswagen,Golf,Hatchback,Petrol,0
453,Dacia,Logan,Sedan,Metan/Propan,0
454,Skoda,Superb,Sedan,Petrol,1
455,Renault,Megane,Universal,Diesel,0
456,Rover,Rare,Sedan,Metan/Propan,0
457,Opel,Insignia,Sedan,Petrol,1
458,Toyota,Corolla Verso,Minivan,Diesel,0
459,Mitsubishi,Outlander,Crossover,Plug-in Hybrid,1
460,Skoda,Octavia,Universal,Petrol,0
461,Volvo,Rare,Sedan,Petrol,1
462,Renault,Grand Scenic,Minivan,Diesel,1
463,Mercedes,A Class,Hatchback,Petrol,0
464,Nissan,Rare,Universal,Diesel,0
465,Mercedes,GLK Class,Crossover,Diesel,1
466,Lexus,CT Series,Hatchback,Hybrid,1
467,Opel,Astra,Universal,Petrol,0
468,Mercedes,E Class,Sedan,Diesel,1
469,Renault,Megane,Universal,Diesel,1
470,Volkswagen,Caddy,Minivan,Diesel,0
471,Porsche,Cayenne,SUV,Petrol,1
472,BMW,5 Series,Sedan,Diesel,1
473,Mercedes,A Class,Hatchback,Petrol,0
474,Peugeot,Rare,Sedan,Petrol,0
475,Ford,Focus,Universal,Diesel,0
476,Volvo,Rare,Sedan,Petrol,1
477,Mercedes,C Class,Sedan,Metan/Propan,1
478,Lexus,Es Series,Sedan,Hybrid,1
479,Audi,A5,Coupe,Petrol,0
480,BMW,3 Series,Sedan,Plug-in Hybrid,1
481,Renault,Kadjar,Crossover,Diesel,1
482,Skoda,Superb,Universal,Diesel,1
483,Skoda,Superb,Sedan,Diesel,1
484,Toyota,Avensis,Sedan,Petrol,1
485,Mercedes,Vito,Microvan,Diesel,0
486,Chevrolet,Rare,Hatchback,Petrol,0
487,Volkswagen,Rare,Sedan,Petrol,0
488,Honda,CR-V,Crossover,Diesel,0
489,Hyundai,Santa FE,Crossover,Diesel,0
490,Skoda,Fabia,Universal,Diesel,0
491,Honda,Civic,Sedan,Hybrid,1
492,Mercedes,A Class,Hatchback,Petrol,1
493,BMW,3 Series,Sedan,Diesel,0
494,Opel,Astra,Universal,Diesel,0
495,Toyota,Auris,Universal,Hybrid,1
496,Toyota,Prius,Hatchback,Hybrid,1
497,Mazda,626,Hatchback,Petrol,0
498,Skoda,Rapid,Universal,Diesel,0
499,Opel,Zafira,Minivan,Petrol,0
500,Opel,Zafira,Minivan,Metan/Propan,1
501,BMW,3 Series,Sedan,Petrol,0
502,Hyundai,Getz,Hatchback,Diesel,0
503,Skoda,Superb,Sedan,Diesel,1
504,Dacia,Lodgy,Universal,Diesel,0
505,Volkswagen,Passat,Sedan,Metan/Propan,1
506,BMW,5 Series,Sedan,Petrol,1
507,Renault,Grand Scenic,Universal,Diesel,1
508,Skoda,Octavia,Hatchback,Petrol,0
509,Porsche,Cayenne,SUV,Plug-in Hybrid,1
510,Chevrolet,Aveo,Universal,Petrol,0
511,Renault,Rare,Sedan,Metan/Propan,0
512,Volkswagen,Caddy,Minivan,Diesel,0
513,Toyota,Avensis,Sedan,Petrol,0
