,Year,Distance,Engine_capacity(cm3),Price(euro)
476,2011,182431.0,1596.0,10500.0
477,2009,160000.0,1600.0,7900.0
478,2012,79118.0,2400.0,16100.0
479,2010,178545.0,2000.0,9799.0
480,2018,45000.0,2000.0,19500.0
481,2016,136000.0,1500.0,12500.0
482,2015,195000.0,2000.0,15300.0
483,2014,181000.0,2000.0,14800.0
484,2013,72000.0,1987.0,14000.0
485,2008,266000.0,2200.0,8490.0
486,2005,224000.0,1600.0,2550.0
487,2001,290000.0,1600.0,2990.0
488,2014,169200.0,2200.0,17250.0
489,2006,278000.0,2200.0,7850.0
490,2011,162000.0,1200.0,4950.0
491,2008,170000.0,1330.0,5750.0
492,2000,230000.0,1600.0,2199.0
493,2006,210000.0,3000.0,2500.0
494,2012,189000.0,1300.0,6000.0
495,2015,104000.0,1800.0,10000.0
496,2008,259000.0,1500.0,6000.0
497,2001,270000.0,1800.0,2700.0
498,2017,92500.0,1400.0,7700.0
499,2006,186713.0,1800.0,5200.0
500,2006,60000.0,1800.0,4900.0
501,2008,212000.0,2000.0,6690.0
502,2007,175000.0,1500.0,3900.0
503,2015,196000.0,2000.0,15690.0
504,2012,179000.0,1500.0,6900.0
505,2012,183000.0,1400.0,10200.0
506,2006,243000.0,2500.0,7990.0
507,2015,162000.0,1500.0,8790.0
508,2016,200000.0,1400.0,9000.0
509,2016,155000.0,3000.0,48000.0
510,2011,72000.0,1400.0,5500.0
511,2002,270000.0,1400.0,2450.0
512,2012,250000.0,1600.0,7000.0
513,2008,178000.0,2000.0,7190.0
514,2017,97000.0,1600.0,10990.0
515,2016,199000.0,1500.0,14400.0
516,2011,188000.0,1300.0,6700.0
517,2010,158000.0,2000.0,9990.0
518,2009,283000.0,1400.0,5990.0
519,2014,161000.0,2000.0,11700.0
520,2009,112000.0,2000.0,8999.0
521,2008,191000.0,3000.0,8490.0
522,2017,133000.0,1500.0,13500.0
523,2004,197000.0,1900.0,6800.0
524,2018,178000.0,1500.0,14400.0
525,2015,172000.0,1500.0,12499.0
526,2011,181000.0,1200.0,5490.0
527,2016,154000.0,1500.0,5400.0
528,2005,224555.0,1400.0,3499.0
529,2015,143000.0,1500.0,13300.0
530,2004,251995.0,2200.0,6999.0
531,2006,267000.0,2000.0,7350.0
532,2013,191000.0,1500.0,6500.0
533,2012,178000.0,1200.0,5490.0
534,2018,175000.0,1500.0,14900.0
535,2006,208555.0,1900.0,5099.0
536,2014,176000.0,2200.0,19800.0
537,2013,177000.0,1400.0,9490.0
538,2010,181000.0,1600.0,1950.0
539,2009,269000.0,1400.0,5990.0
540,2013,160000.0,1500.0,6400.0
541,2012,215000.0,1400.0,7990.0
542,2010,146000.0,1994.0,9800.0
543,2014,195000.0,1500.0,6750.0
544,2013,247000.0,1600.0,7500.0
545,2015,250000.0,1460.0,11400.0
546,2009,116000.0,1600.0,5300.0
547,2010,184000.0,1500.0,5500.0
548,2011,170352.0,1200.0,6650.0
549,2014,130000.0,1495.0,6299.0
550,2009,225000.0,1400.0,5990.0
551,2015,119000.0,1200.0,5490.0
552,2012,157000.0,1200.0,4990.0
553,2010,180000.0,1400.0,6200.0
554,2016,170000.0,1500.0,13900.0
555,2012,172000.0,1500.0,5900.0
556,2012,151000.0,1500.0,7300.0
557,2011,182000.0,1200.0,5490.0
558,2015,160000.0,2000.0,16500.0
559,2014,102000.0,1200.0,10890.0
560,2011,182000.0,1200.0,4950.0
561,2012,171000.0,1500.0,6450.0
562,2014,45000.0,2000.0,12990.0
563,2006,211620.0,1800.0,5499.0
564,2010,173000.0,1200.0,4990.0
565,2006,225000.0,1300.0,2950.0
566,2012,170000.0,1400.0,7500.0
567,2008,185000.0,2000.0,10990.0
568,2012,172000.0,1500.0,7990.0
569,2010,165000.0,1400.0,4650.0
570,2008,193000.0,1600.0,3850.0
571,2013,78000.0,1000.0,6499.0
572,2001,320000.0,2500.0,5100.0
573,1997,480000.0,1600.0,1700.0
574,2013,218000.0,2400.0,19999.0
575,2013,138000.0,2000.0,6990.0
576,2010,177000.0,1400.0,6200.0
577,2006,164000.0,1800.0,6990.0
578,2020,15000.0,2500.0,31900.0
579,2019,21400.0,3000.0,64500.0
580,2004,212000.0,1800.0,3990.0
581,2011,160000.0,2000.0,12800.0
582,2008,200000.0,2400.0,8490.0
583,2007,263000.0,3200.0,10490.0
584,2011,100000.0,1400.0,8750.0
585,2007,213000.0,1600.0,4990.0
586,2013,185000.0,1400.0,8200.0
587,2015,93300.0,1998.0,11599.0
588,2003,168000.0,1800.0,4990.0
589,2012,189000.0,1300.0,5350.0
590,2009,165200.0,2000.0,8500.0
591,2013,128400.0,2231.0,18300.0
592,2009,136000.0,1400.0,6200.0
593,2008,191000.0,1300.0,4700.0
594,2018,39000.0,1995.0,31900.0
595,2005,220000.0,1300.0,2790.0
596,2008,179000.0,1500.0,6600.0
597,2010,229000.0,1800.0,7490.0
598,2015,173000.0,2200.0,16000.0
599,2019,81000.0,1500.0,13490.0
600,2014,170000.0,1364.0,7700.0
601,2014,220000.0,1200.0,2400.0
602,2011,157000.0,1200.0,4990.0
603,2010,173000.0,2000.0,7500.0
604,2011,187000.0,1400.0,5200.0
605,2006,190000.0,2200.0,8499.0
606,2010,224730.0,1200.0,2850.0
607,2017,138000.0,1500.0,11990.0
608,2008,172000.0,1600.0,5800.0
609,2014,82000.0,1200.0,9690.0
610,2009,177444.0,1400.0,6699.0
611,2011,192000.0,1400.0,7490.0
612,2015,171000.0,1500.0,6790.0
613,2011,170000.0,1500.0,8500.0
614,2015,206333.0,2500.0,13999.0
615,2016,159000.0,1500.0,8890.0
616,2013,173000.0,1500.0,6900.0
617,2006,226940.0,1400.0,3299.0
618,2014,200000.0,1800.0,9300.0
619,2014,133000.0,1500.0,7700.0
620,2010,230000.0,1500.0,4350.0
621,2014,155000.0,1400.0,6990.0
622,2013,127000.0,1500.0,7600.0
623,2010,25000.0,1300.0,3490.0
624,2005,245258.0,1998.0,5899.0
625,2016,138000.0,1400.0,9499.0
626,2016,185000.0,1500.0,11900.0
627,2011,231000.0,3000.0,26500.0
628,2013,222000.0,2000.0,14500.0
629,2015,207000.0,1500.0,8400.0
630,2011,190000.0,2488.0,12400.0
631,2009,205000.0,1500.0,6900.0
632,2014,130000.0,2000.0,18800.0
633,2019,13000.0,999.0,9999.0
634,2015,161000.0,1500.0,8500.0
635,2012,181000.0,2000.0,13100.0
636,2011,233000.0,1500.0,8350.0
637,2007,220000.0,1600.0,4500.0
638,2005,198777.0,3000.0,9999.0
639,2014,169000.0,2200.0,11999.0
640,2017,125450.0,1500.0,9100.0
641,2019,19000.0,1600.0,14990.0
642,2011,170000.0,1500.0,8600.0
643,2009,172000.0,1400.0,4899.0
644,2013,145000.0,1200.0,7999.0
645,2009,258000.0,1300.0,5300.0
646,2012,157000.0,1500.0,6300.0
647,2018,148000.0,1500.0,10990.0
648,2012,235000.0,2400.0,17000.0
649,2011,178555.0,1500.0,6499.0
650,2016,147000.0,1400.0,13490.0
651,2012,131000.0,1500.0,6250.0
652,2007,189000.0,1800.0,4490.0
653,2016,125000.0,1500.0,13500.0
654,2014,133000.0,2000.0,11990.0
655,2013,150000.0,1600.0,8990.0
656,2006,206885.0,2500.0,7950.0
657,2019,84700.0,1500.0,17900.0
658,2015,160000.0,2000.0,10999.0
659,2013,191000.0,1500.0,8450.0
660,2017,176000.0,1500.0,10990.0
661,2018,18000.0,2000.0,19990.0
662,2016,177000.0,1600.0,12990.0
663,2016,158000.0,1500.0,12990.0
664,2006,204555.0,2500.0,7499.0
665,2016,54000.0,2000.0,14990.0
666,2016,180000.0,1500.0,8400.0
667,2011,177000.0,1200.0,5800.0
668,2013,109111.0,1800.0,10199.0
669,2007,276850.0,2200.0,8599.0
670,2010,178000.0,4400.0,15990.0
671,2016,148000.0,1800.0,12000.0
672,2015,130000.0,1500.0,9800.0
673,2010,205000.0,2000.0,8999.0
674,2011,171000.0,1300.0,7100.0
675,2011,231000.0,1248.0,5999.0
676,2001,286350.0,2000.0,4299.0
677,2012,180000.0,1200.0,4990.0
678,2015,170222.0,2200.0,15999.0
679,2011,165000.0,1200.0,5490.0
680,2016,65000.0,2000.0,19899.0
681,2015,175700.0,2000.0,14950.0
682,2012,171000.0,1400.0,9550.0
683,2013,212000.0,1500.0,8500.0
684,2007,220000.0,1400.0,5200.0
685,2014,199000.0,1600.0,10999.0
686,2011,162333.0,1500.0,7990.0
687,2016,162000.0,2000.0,13999.0
688,2012,118483.0,1598.0,7500.0
689,2020,12000.0,2000.0,39899.0
690,2013,199000.0,2200.0,24899.0
691,2015,169000.0,2000.0,11999.0
692,2007,232000.0,3000.0,9200.0
693,2011,140000.0,1399.0,4499.0
